country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr
Albania,-7.492,27.756,29.372,13039.7,103.297,-1.616,24.672,17.085,2.884,13.7,10.1,5.993,196.547,71.895,3.802,13.053
Algeria,-13.12,32.04,38.581,11644.06,193.97,-6.541,48.544,35.424,41.721,11.709,0.042,-0.833,255.835,26.808,1.4,170.207
Argentina,-4.838,34.428,41.121,23597.12,211.473,-6.693,18.213,13.375,44.045,8.35,-0.132,14.235,1467.56,57.028,2.819,643.861
Armenia,-1.521,21.242,26.027,11974.03,207.522,-4.785,18.422,16.901,2.979,17.8,13.564,22.152,153.605,53.704,7.518,11.527
Australia,-2.573,35.144,36.862,49633.24,111.2,-1.718,24.282,22.027,24.773,5.592,3.439,7.753,94.332,41.17,2.378,1381.99
Austria,1.374,48.483,49.299,54393.57,125.43,-0.816,24.838,26.213,8.815,5.925,4.898,5.289,102.872,78.603,2.259,417.114
Azerbaijan,4.071,34.229,35.537,14184.79,243.664,-1.307,24.379,27.348,9.81,4.961,-7.196,-2.527,244.634,22.509,0.154,41.375
Belgium,0.698,51.346,52.03,50726.55,104.033,-0.684,24.456,25.154,11.352,7.158,1.119,-0.221,103.786,102.009,1.62,502.587
Bolivia,-5.024,30.774,38.598,8456.07,99.323,-7.824,22.22,16.052,11.15,4.0,9.292,4.679,560.57,51.26,4.195,37.782
Bosnia and Herzegovina,-4.844,42.339,40.525,13240.39,99.213,1.814,23.672,18.829,3.504,20.5,12.447,8.156,103.127,37.947,3.176,18.081
Brazil,-1.068,30.454,38.295,14596.87,31946817701225.2,-7.84,14.626,13.558,206.805,12.85,5.19,9.9,563.439,83.632,1.323,2063.52
Bulgaria,3.305,32.833,32.011,21616.97,99.848,0.823,19.806,23.111,7.05,6.23,5.752,7.356,108.292,22.906,2.762,59.322
Cabo Verde,-7.844,28.599,31.572,6535.1,98.741,-2.972,38.242,30.399,0.546,12.2,1.426,16.006,113.628,127.217,3.702,1.77
Canada,-2.803,40.343,40.455,48688.11,130.425,-0.112,23.55,20.748,36.495,6.383,1.445,4.627,106.239,88.853,3.04,1649.27
Chile,-2.782,22.876,25.505,23660.3,97.739,-2.629,22.634,19.871,18.419,6.965,-0.958,4.479,98.446,23.663,1.312,276.227
China,1.538,29.232,32.635,14151.79,103.592,-3.403,43.172,44.71,1400.11,3.9,7.95,7.291,104.818,51.733,6.947,12265.33
Colombia,-3.182,26.825,29.32,14763.88,95.958,-2.496,21.599,18.417,47.419,9.367,2.568,1.019,110.546,49.436,1.359,311.89
Costa Rica,-3.617,13.278,19.249,19711.65,94.464,-5.972,18.065,14.448,4.966,9.293,6.955,5.013,100.0,47.064,4.158,60.517
Croatia,3.54,45.515,44.702,27129.36,99.992,0.813,21.694,25.234,4.125,12.433,6.887,8.44,101.088,76.518,3.414,56.214
Cyprus,-5.06,38.462,36.474,38515.93,99.45,1.988,20.786,15.651,0.855,11.05,11.18,14.303,100.677,92.931,5.853,22.863
Czech Republic,1.547,40.481,38.98,39031.09,103.125,1.501,26.372,27.919,10.579,2.89,7.198,6.251,102.463,34.235,5.169,218.629
Denmark,8.009,52.336,50.55,55673.46,101.075,1.786,22.053,30.062,5.749,5.817,4.814,4.183,106.995,35.893,2.819,332.121
Dominican Republic,-0.166,13.977,17.064,17301.38,92.073,-3.088,22.472,22.306,10.169,5.509,3.34,-4.229,162.708,48.906,4.667,80.082
Ecuador,-0.176,32.05,36.511,11623.72,105.442,-4.461,26.28,26.104,16.777,4.62,1.569,14.804,146.987,47.03,2.368,104.296
Egypt,-6.086,21.761,32.19,11158.25,72.658,-10.429,15.274,9.188,95.2,12.245,2.977,0.993,100.0,103.04,4.077,236.528
El Salvador,-1.86,25.235,27.763,8454.05,111.15,-2.528,16.677,14.817,6.388,7.049,3.358,-0.761,102.976,70.526,2.253,24.979
Estonia,2.264,38.498,39.236,33903.13,104.48,-0.738,26.382,28.646,1.317,5.763,4.832,3.991,105.856,9.122,5.792,26.915
Finland,-0.803,52.979,53.633,47621.51,101.232,-0.654,23.977,23.174,5.503,8.825,8.822,4.314,100.907,61.167,3.192,255.558
France,-0.767,53.545,56.503,46369.7,101.473,-2.958,23.436,22.67,64.639,9.442,4.625,4.69,102.119,98.131,2.441,2589.03
Georgia,-8.041,27.111,27.596,13595.58,124.181,-0.484,27.29,19.249,3.726,21.6,11.629,8.071,111.333,39.446,4.843,16.242
Germany,7.83,45.511,44.175,53373.76,102.067,1.336,20.962,28.792,82.657,3.758,5.555,5.709,102.851,64.658,2.68,3689.55
Greece,-2.575,49.408,48.496,28518.16,119.922,0.912,12.022,9.448,10.768,21.45,8.338,7.37,99.705,182.68,1.092,199.773
Honduras,-1.246,26.45,26.858,5557.93,304.017,-0.408,24.821,23.575,9.436,5.528,5.855,2.669,262.436,38.853,4.843,23.136
Hong Kong SAR,4.569,22.852,17.36,59667.89,94.55,5.492,22.069,26.65,7.415,3.127,5.845,6.614,94.537,0.055,3.796,341.271
Hungary,2.0,44.012,46.44,29837.96,114.536,-2.428,22.921,25.1,9.798,4.041,6.475,8.397,105.403,72.075,4.269,143.136
Iceland,4.221,45.364,44.409,56944.8,156.88,0.955,21.741,25.962,0.338,3.283,5.08,11.831,103.219,71.638,4.195,24.728
Indonesia,-1.595,14.053,16.562,11073.52,96.813,-2.509,33.711,32.116,261.356,5.5,12.532,10.769,137.092,29.396,5.07,1015.49
Ireland,0.491,25.907,26.203,77782.49,100.058,-0.295,34.666,35.157,4.825,6.742,9.637,1.162,95.268,67.785,8.94,335.312
Islamic Republic of Iran,3.064,15.504,17.118,15737.32,109.65,-1.614,34.295,37.359,81.423,12.075,0.164,10.478,113.035,45.044,2.759,486.829
Israel,3.603,37.473,38.6,39206.06,98.9,-1.127,21.123,24.726,8.71,4.225,5.264,4.392,100.559,60.162,4.377,355.277
Italy,2.587,46.344,48.763,42111.53,101.267,-2.419,18.054,20.641,60.067,11.308,5.437,6.091,101.869,134.161,1.668,1961.1
Japan,4.128,33.587,36.686,41408.95,98.579,-3.099,25.215,29.343,126.746,2.825,6.619,3.307,100.336,231.416,1.675,4930.84
Kazakhstan,-3.058,19.822,24.088,24699.3,383.718,-4.266,26.352,23.294,18.157,4.872,10.63,4.725,401.314,19.869,3.901,166.806
Korea,4.635,21.826,19.638,41001.07,97.645,2.188,32.288,37.092,51.362,3.683,2.48,8.857,104.253,40.05,3.16,1623.07
Kosovo,-5.484,26.748,28.174,10392.7,101.5,-1.426,34.694,29.21,1.799,30.475,20.012,5.458,100.441,16.379,4.825,7.178
Kuwait,7.96,53.809,51.385,46479.56,180.913,2.425,27.731,35.689,4.438,1.28,-4.77,9.214,94.41,20.485,-4.714,120.687
Latvia,1.253,35.667,36.488,28571.47,102.998,-0.821,22.009,23.279,1.95,8.715,6.377,8.552,103.837,38.981,3.313,30.473
Lithuania,0.593,32.856,32.402,33826.61,104.422,0.454,19.181,19.774,2.828,7.073,13.522,11.141,105.886,39.338,4.282,47.742
Luxembourg,4.74,42.569,41.274,116621.02,102.153,1.295,18.89,23.63,0.591,5.844,-0.227,0.754,101.011,21.822,1.317,65.689
Malaysia,2.791,19.631,22.043,25897.24,119.525,-2.412,25.547,28.338,32.023,3.425,7.26,8.464,105.5,54.396,5.813,319.249
Malta,5.85,37.185,34.06,44936.0,102.175,3.125,21.307,27.158,0.46,4.0,8.74,4.485,104.137,47.499,11.079,13.5
Mauritius,-4.617,22.749,24.42,21415.34,100.0,-1.671,18.275,18.795,1.265,7.1,3.466,5.412,132.415,64.335,3.814,13.259
Mexico,-1.728,24.642,25.705,19933.5,95.571,-1.062,22.905,21.177,124.042,3.423,4.162,6.36,121.034,53.963,2.113,1158.91
Moldova,-5.743,29.841,30.481,11547.4,51480.35,-0.64,22.778,17.034,2.78,4.125,12.5,14.5,1447.03,34.3,4.7,9.67
Mongolia,-10.064,28.461,32.177,11137.0,105.083,-3.716,27.406,17.342,3.178,8.8,0.607,11.891,114.117,100.074,5.637,11.481
Morocco,-3.419,26.563,30.057,7581.0,100.004,-3.494,32.624,29.205,34.852,10.6,10.757,6.206,111.753,65.124,4.249,109.683
Netherlands,10.827,42.923,41.606,55509.26,101.396,1.316,20.593,31.42,17.082,5.873,6.489,6.174,101.721,56.94,2.911,833.575
New Zealand,-2.815,36.968,35.644,40926.4,143.707,1.324,23.314,20.5,4.815,4.725,2.723,7.269,117.831,31.132,3.506,203.595
Nicaragua,-7.16,25.479,27.258,5995.6,204.632,-1.78,29.915,22.755,6.394,3.67,9.389,0.937,222.571,34.08,4.631,13.786
Norway,5.476,54.636,49.641,62782.11,114.551,4.996,27.822,33.31,5.29,4.216,1.699,1.879,94.209,38.636,2.323,398.394
Pakistan,-3.617,13.957,19.128,5158.98,105.633,-5.171,16.333,12.716,205.17,6.018,-1.712,15.249,111.401,60.856,4.609,339.245
Panama,-6.021,20.002,22.166,30510.96,104.433,-2.164,41.731,35.71,4.098,6.13,5.159,4.801,154.3,35.256,5.591,62.203
Paraguay,3.035,18.589,19.471,12433.77,97.967,-0.882,20.6,23.635,6.954,6.086,7.808,10.964,108.09,19.847,4.81,38.997
Peru,-1.297,18.306,21.241,12540.71,127.335,-2.935,20.579,19.282,31.826,6.876,8.014,4.492,135.788,25.415,2.519,214.128
Philippines,-0.652,18.689,19.061,8199.05,94.942,-0.372,25.559,24.906,104.17,5.725,20.45,17.114,96.394,38.108,6.931,328.481
Poland,-0.411,39.785,41.272,30161.55,169.829,-1.487,19.911,19.5,37.973,4.952,9.627,10.2,102.177,50.617,4.831,526.643
Portugal,1.295,42.412,45.368,33086.05,102.202,-2.956,17.227,17.646,10.3,9.225,7.966,7.998,101.512,126.143,3.506,221.28
Romania,-3.104,27.956,30.933,27219.98,113.977,-2.976,23.427,20.328,19.644,4.927,7.933,11.531,107.241,36.836,7.319,211.696
Russia,2.043,33.361,34.83,25999.32,110.985,-1.469,23.607,25.65,146.88,5.2,4.474,16.779,105.35,14.311,1.826,1575.14
Saudi Arabia,1.52,24.069,33.297,48014.59,97.601,-9.228,28.852,30.371,32.613,6.0,-0.357,-0.296,100.531,17.16,-0.742,688.586
Serbia,-5.23,41.452,40.082,16621.47,189.616,1.37,19.575,14.345,7.021,14.869,9.767,10.587,104.567,58.649,2.101,44.179
Seychelles,-19.092,34.808,34.34,28530.63,105.928,0.468,30.171,11.079,0.094,3.0,3.829,6.786,104.38,60.339,4.511,1.573
Singapore,17.303,18.882,13.573,95310.33,99.004,5.309,27.323,44.626,5.612,2.175,7.377,8.072,103.257,107.739,4.661,343.187
Slovak Republic,-1.916,38.619,39.601,30900.88,100.917,-0.982,23.111,21.195,5.435,8.05,4.127,4.727,100.697,51.6,2.98,95.36
Slovenia,6.217,44.017,44.07,36680.19,101.374,-0.053,20.03,26.248,2.066,6.6,11.071,10.672,107.121,74.15,4.816,48.572
South Africa,-2.368,25.844,29.86,13838.85,82.933,-4.016,16.611,14.243,57.098,27.45,-0.273,1.533,112.806,48.588,1.158,381.317
Spain,2.772,38.174,41.21,39626.47,95.046,-3.036,19.411,22.183,46.533,17.225,5.514,6.79,101.627,98.557,2.977,1312.08
Sri Lanka,-2.641,13.802,19.305,12584.1,119.042,-5.503,31.595,28.953,21.444,4.2,4.354,2.945,142.407,77.902,3.578,87.428
Sweden,2.951,49.654,48.231,52413.09,103.021,1.423,25.725,28.676,10.12,6.858,4.155,4.464,93.585,40.73,2.568,541.019
Switzerland,6.26,33.131,32.015,69846.97,99.861,1.115,24.998,31.258,8.42,3.088,-0.123,-0.768,99.049,41.208,1.656,704.71
Taiwan Province of China,14.063,15.31,17.332,48500.85,101.087,-2.022,20.971,36.103,23.571,3.76,6.311,3.186,99.155,34.514,3.311,590.733
Thailand,9.628,21.097,21.522,17422.95,98.25,-0.425,22.934,32.562,69.21,1.2,5.181,6.227,150.963,41.778,4.178,456.523
The Bahamas,-13.736,16.772,22.026,36821.57,103.065,-5.254,27.73,13.994,0.372,10.1,5.003,3.178,113.128,54.142,1.625,12.36
Tunisia,-9.676,23.117,28.725,11138.35,109.131,-5.607,21.295,11.619,11.532,15.513,3.209,3.422,109.882,69.126,2.238,42.167
Turkey,-4.759,31.163,33.345,28242.49,312.144,-2.183,30.694,26.006,80.811,10.918,12.209,8.967,183.723,28.027,7.502,858.932
Ukraine,-2.182,39.291,41.585,11942.82,73401082.84,-2.294,20.749,18.567,42.217,9.65,7.86,16.548,122.168,71.62,2.36,112.114
United Kingdom,-3.631,36.431,38.783,46553.49,103.361,-2.353,18.189,14.558,66.04,4.425,5.654,2.923,96.104,85.146,2.134,2701.27
United States,-1.857,30.835,35.461,59885.71,245.121,-4.626,20.79,19.486,325.28,4.358,4.077,4.445,107.747,106.204,2.255,19479.63
Uruguay,0.012,27.544,30.051,22637.31,170.095,-2.507,15.829,15.841,3.493,7.925,3.528,3.896,104.987,56.52,1.628,64.234
Uzbekistan,2.422,23.557,22.352,6897.81,206.07,1.204,29.526,31.948,32.121,5.83,14.776,3.634,59.822,19.274,4.395,61.018
Vietnam,-0.596,19.565,21.529,9085.61,256.785,-1.964,31.94,31.327,93.672,2.24,17.235,18.392,149.22,46.32,6.94,277.071
