country,acc_bal,gov_rev,gov_expend,gdp_percap_cons,inflation_ind,gov_net_len/borr,tot_invest,gross_savings,pop,unemployment,export_g_s,import_g_s,gdp_defl,gross_debt,gdp_cons,gdp_curr,continent,spend_class,debt_class,invest/gdp_class
Albania,-7.571,27.209,29.153,13862.63,106.88,-1.944,23.032,14.742,2.881,11.47,1.695,4.716,201.949,67.285,2.088,15.399,EU,S2,Very High,20%-30%
Algeria,-9.911,32.316,37.895,11412.23,206.2,-5.579,45.991,36.08,43.424,11.383,-2.954,-9.686,271.416,46.208,0.8,171.07,AF,S3,40%-60%,>40
Argentina,-0.821,33.308,37.703,22066.1,436.015,-4.395,14.917,14.097,44.939,9.825,12.155,-21.107,3145.86,88.835,-2.026,451.815,SA,S3,Very High,0%-20%
Armenia,-7.359,23.925,24.902,13637.87,215.749,-0.977,17.409,10.05,2.963,18.3,16.507,13.339,159.485,50.086,7.631,13.619,AS,S1,40%-60%,0%-20%
Australia,0.606,34.642,39.021,50428.69,115.15,-4.379,22.568,23.28,25.558,5.158,3.374,-1.45,99.56,46.797,1.995,1386.64,OC,S3,40%-60%,20%-30%
Austria,2.092,49.176,48.566,56303.64,130.0,0.61,25.404,27.496,8.859,4.808,3.417,1.979,106.425,70.563,1.491,445.061,EU,S4,Very High,20%-30%
Azerbaijan,9.061,41.475,32.366,14501.14,256.115,9.109,20.308,27.373,9.982,4.848,2.314,-0.731,273.833,17.656,2.48,48.174,AS,S2,5%-20%,20%-30%
Belgium,0.16,49.936,51.844,52281.55,107.766,-1.908,24.965,25.125,11.456,5.442,0.118,-0.477,107.211,97.708,2.149,535.347,EU,S4,Very High,20%-30%
Bolivia,-3.343,28.845,36.066,8757.26,103.447,-7.221,19.875,14.163,11.47,4.0,2.561,-0.594,573.699,59.257,2.217,41.193,SA,S3,40%-60%,0%-20%
Bosnia and Herzegovina,-2.799,41.859,40.472,14177.04,101.182,1.387,24.339,21.54,3.491,15.7,0.501,1.342,108.749,32.526,2.831,20.203,EU,S3,20%-40%,20%-30%
Brazil,-3.471,31.49,37.37,14799.45,34353857264335.9,-5.88,15.517,12.045,210.147,11.975,-1.682,4.631,613.628,87.87,1.221,1873.29,SA,S3,Very High,0%-20%
Bulgaria,1.865,34.896,35.853,23420.93,104.994,-0.957,20.998,22.862,6.951,4.275,3.974,5.22,118.787,18.307,4.038,68.919,EU,S3,5%-20%,20%-30%
Cabo Verde,-0.399,29.4,31.236,7167.75,101.106,-1.837,37.552,37.152,0.55,8.5,10.254,-3.488,116.009,124.922,5.668,1.982,AF,S2,Very High,30%-40%
Canada,-2.035,40.658,40.654,49560.84,135.983,0.004,23.069,21.034,37.54,5.75,2.274,0.375,109.55,87.157,1.88,1742.02,NA,S3,Very High,20%-30%
Chile,-5.191,23.733,26.46,23916.59,102.257,-2.727,25.042,19.812,19.107,7.223,-2.505,-1.697,102.568,28.289,0.845,278.435,SA,S2,20%-40%,20%-30%
China,0.718,28.051,34.153,15893.0,108.843,-6.102,43.068,43.786,1410.08,3.62,0.445,-3.662,110.754,57.244,5.951,14340.6,AS,S2,40%-60%,>40
Colombia,-4.584,29.397,32.879,14999.82,102.553,-3.482,21.381,16.797,49.396,10.508,3.084,7.344,120.295,52.401,3.187,323.055,SA,S2,40%-60%,20%-30%
Costa Rica,-1.283,15.002,21.734,20271.55,98.587,-6.732,16.064,14.781,5.075,12.417,4.261,-2.297,104.816,56.425,2.418,64.412,NA,S1,40%-60%,0%-20%
Croatia,3.031,46.258,46.029,29314.63,102.275,0.229,22.788,25.819,4.065,7.758,6.843,6.528,105.099,71.082,3.482,62.246,EU,S4,Very High,20%-30%
Cyprus,-5.686,39.673,38.376,41826.87,100.781,1.298,20.243,14.626,0.876,7.075,7.484,8.338,102.83,91.082,5.282,25.762,AS,S3,Very High,20%-30%
Czech Republic,0.331,41.37,41.062,41223.23,108.342,0.308,27.613,27.943,10.65,2.001,1.479,1.545,109.183,30.049,3.029,252.498,EU,S4,20%-40%,20%-30%
Denmark,8.81,53.581,49.517,57409.97,102.533,4.064,21.964,30.775,5.806,5.042,5.029,2.956,108.594,33.567,2.114,347.561,EU,S4,20%-40%,20%-30%
Dominican Republic,-1.334,14.396,16.591,19090.48,97.081,-2.195,26.005,24.671,10.358,6.167,-0.952,5.049,173.693,53.579,5.052,89.032,NA,S1,40%-60%,20%-30%
Ecuador,-0.057,33.66,36.402,11440.19,105.486,-2.743,25.906,25.849,17.268,3.84,7.486,1.074,150.402,51.411,0.012,108.108,SA,S3,40%-60%,20%-30%
Egypt,-3.603,20.296,28.282,11940.25,99.992,-7.986,17.993,14.39,98.9,8.612,9.365,2.744,137.968,84.214,5.558,302.335,AF,S2,Very High,0%-20%
El Salvador,-0.615,24.124,27.192,8795.31,112.443,-3.068,16.879,16.264,6.454,6.335,5.911,0.923,105.491,71.289,2.633,26.897,NA,S2,Very High,0%-20%
Estonia,2.525,39.556,39.434,36488.52,110.496,0.122,26.083,28.608,1.327,4.448,6.481,3.8,113.628,8.558,4.096,31.049,EU,S3,5%-20%,20%-30%
Finland,-0.312,52.345,53.284,48624.11,103.579,-0.938,24.052,23.74,5.518,6.742,6.675,2.364,104.467,59.594,1.221,268.538,EU,S4,40%-60%,20%-30%
France,-0.291,52.262,55.332,47753.47,104.947,-3.07,24.393,24.103,65.097,8.417,1.495,2.382,104.529,97.414,1.839,2730.11,EU,S4,Very High,20%-30%
Georgia,-5.493,27.105,28.947,14975.81,133.613,-1.842,25.299,19.805,3.724,17.6,9.998,6.747,122.221,40.434,4.982,17.477,AS,S2,40%-60%,20%-30%
Germany,7.569,46.462,44.991,54234.43,105.45,1.471,22.141,29.71,83.093,3.15,1.137,2.89,107.043,58.925,1.05,3888.76,EU,S4,40%-60%,20%-30%
Greece,-2.234,48.024,47.816,29636.87,121.476,0.208,12.606,10.371,10.725,17.325,7.4,6.736,99.788,185.082,1.804,205.166,EU,S4,Very High,0%-20%
Honduras,-2.666,25.813,25.724,5721.95,331.083,0.088,22.731,20.065,9.77,5.386,3.914,-0.79,278.587,42.623,2.653,25.09,NA,S1,40%-60%,20%-30%
Hong Kong,5.882,20.368,20.951,59488.67,99.617,-0.583,18.191,24.037,7.521,2.932,-6.149,-7.245,100.0,0.267,-1.678,363.052,AS,S1,0%-5%,0%-20%
Hungary,-0.696,43.629,45.707,32952.87,121.771,-2.078,28.307,27.776,9.773,3.309,5.423,8.207,115.778,65.479,4.554,163.517,EU,S4,Very High,20%-30%
Iceland,5.809,41.862,43.386,57981.2,165.94,-1.523,21.096,26.904,0.357,3.925,-4.668,-8.519,110.667,66.246,2.423,24.82,EU,S4,Very High,20%-30%
Indonesia,-2.703,14.154,16.383,11976.45,102.819,-2.229,33.78,31.077,266.912,5.18,-7.426,-9.472,144.602,30.563,5.019,1120.05,AS,S1,20%-40%,30%-40%
Ireland,-19.85,24.713,24.202,86744.3,101.642,0.511,54.698,34.847,4.95,4.983,10.421,41.654,99.999,57.215,4.917,399.165,EU,S1,40%-60%,
Islamic Republic of Iran,0.573,9.258,13.76,14840.67,192.229,-4.502,40.388,40.96,83.265,10.625,-21.889,-11.888,192.898,42.424,-1.34,655.791,AS,S1,40%-60%,>40
Israel,3.361,35.019,38.914,40710.86,100.55,-3.895,21.313,24.674,9.051,3.817,3.918,3.377,103.363,59.504,3.774,397.935,AS,S3,40%-60%,20%-30%
Italy,3.223,46.933,48.473,42892.57,103.175,-1.54,18.24,21.463,59.817,9.892,1.574,-0.7,103.904,134.139,0.5,2011.51,EU,S4,Very High,0%-20%
Japan,3.435,34.213,37.244,41723.61,100.02,-3.03,25.817,29.251,126.221,2.358,-1.458,0.988,100.973,236.139,-0.24,5123.32,AS,S3,,20%-30%
Kazakhstan,-4.018,19.679,20.248,26184.84,428.17,-0.57,27.628,23.61,18.632,4.793,2.913,12.075,471.711,19.944,4.5,181.667,AS,S1,5%-20%,20%-30%
"Korea, Republic of",3.614,22.923,22.551,42850.29,99.466,0.372,31.495,34.846,51.709,3.783,0.238,-1.909,103.877,42.125,2.244,1651.42,AS,S1,40%-60%,30%-40%
Montenegro,-5.661,26.995,29.922,11360.15,105.399,-2.927,34.558,28.897,1.782,25.65,7.556,4.502,102.928,17.669,4.757,7.9,EU,S2,5%-20%,30%-40%
Kuwait,12.534,55.226,52.155,43994.79,183.962,3.071,25.018,33.097,4.776,1.183,-10.05,-10.419,104.671,11.636,-0.552,136.192,AS,S4,5%-20%,20%-30%
Latvia,-0.662,37.244,37.625,30927.57,108.53,-0.381,23.245,22.593,1.92,6.311,2.091,3.011,110.658,36.697,2.484,34.313,EU,S3,20%-40%,20%-30%
Lithuania,3.477,34.072,33.807,37237.46,109.466,0.265,17.565,21.042,2.794,6.254,9.928,6.057,112.53,35.865,4.574,54.703,EU,S2,20%-40%,0%-20%
Luxembourg,4.56,45.262,42.863,118216.11,105.933,2.399,18.425,22.985,0.614,5.403,5.791,6.857,103.354,22.292,3.284,70.203,EU,S4,20%-40%,0%-20%
Malaysia,3.497,21.561,23.57,27920.57,121.483,-2.009,21.044,24.541,32.523,3.275,-0.812,-1.944,106.238,57.067,4.439,365.385,AS,S1,40%-60%,20%-30%
Malta,5.388,35.994,35.637,47040.95,105.538,0.357,21.246,26.634,0.494,3.633,6.965,7.964,108.974,40.605,5.861,15.722,EU,S3,40%-60%,20%-30%
Mauritius,-5.384,22.702,31.134,22851.61,103.7,-8.432,19.799,19.336,1.267,6.7,-6.044,1.609,135.009,84.621,3.012,14.046,AF,S2,Very High,0%-20%
Mexico,-0.273,23.626,25.954,19925.8,103.894,-2.328,21.155,20.881,126.578,3.491,1.469,-0.728,132.283,53.321,-0.186,1269.4,NA,S1,40%-60%,20%-30%
Moldova,-9.285,29.922,31.359,12946.99,55912.69,-1.437,25.35,16.065,2.682,5.125,6.7,4.8,1573.45,28.294,3.7,11.972,EU,S2,20%-40%,20%-30%
Mongolia,-15.216,31.713,30.819,12214.53,120.408,0.894,35.592,20.376,3.297,10.0,6.276,6.111,135.487,78.475,5.602,14.206,AS,S2,Very High,30%-40%
Morocco,-3.68,25.609,29.428,7857.9,101.817,-3.819,31.942,28.263,35.587,10.2,2.855,0.954,114.503,64.815,2.608,119.871,AF,S2,Very High,30%-40%
Netherlands,9.371,43.583,41.237,57258.26,105.772,2.346,22.096,31.467,17.282,4.436,1.98,3.258,107.36,47.561,1.955,910.295,EU,S4,40%-60%,20%-30%
New Zealand,-2.913,36.286,38.756,42056.68,148.368,-2.47,24.076,21.163,4.986,4.15,2.375,2.062,123.766,31.808,2.873,211.036,OC,S3,20%-40%,20%-30%
Nicaragua,5.973,27.536,27.84,5466.61,226.302,-0.304,17.659,23.632,6.528,6.118,1.373,-6.75,241.08,41.69,-3.674,12.625,NA,S2,40%-60%,0%-20%
Norway,2.897,57.258,50.674,63164.04,120.27,6.584,29.844,32.753,5.357,3.728,1.138,5.103,100.0,40.937,0.746,404.941,EU,S4,40%-60%,20%-30%
Pakistan,-4.218,11.265,19.054,5412.61,117.177,-7.789,15.5,11.281,213.95,6.9,-3.497,-10.268,125.439,77.505,3.12,318.478,AS,S1,Very High,0%-20%
Panama,-4.97,18.505,21.9,31646.19,104.855,-3.395,38.302,33.332,4.219,7.07,-0.133,-7.397,155.619,41.897,2.98,66.984,NA,S1,40%-60%,30%-40%
Paraguay,-0.469,19.193,22.989,12424.93,104.667,-3.796,21.696,21.227,7.153,6.569,-4.139,-4.511,113.528,25.78,-0.402,37.907,SA,S1,20%-40%,20%-30%
Peru,-1.041,19.916,21.281,12783.13,131.768,-1.365,21.031,19.99,33.162,6.6,1.223,-0.157,141.081,27.093,2.15,230.908,SA,S1,20%-40%,20%-30%
Philippines,-0.809,20.013,21.671,8983.41,102.375,-1.658,26.402,25.593,107.29,5.1,8.683,0.634,100.697,36.967,6.119,376.823,AS,S1,20%-40%,20%-30%
Poland,0.472,41.035,41.772,33284.21,176.529,-0.737,19.726,20.198,37.973,3.312,5.192,3.047,106.708,45.607,4.745,597.194,EU,S4,40%-60%,0%-20%
Portugal,0.435,42.566,42.451,34989.23,103.705,0.115,18.493,18.717,10.286,6.667,3.978,5.125,105.16,116.608,2.683,240.013,EU,S4,Very High,0%-20%
Romania,-4.887,28.885,33.809,29979.09,123.816,-4.924,23.63,18.742,19.415,3.912,4.576,8.825,121.613,36.796,4.188,249.88,EU,S2,20%-40%,20%-30%
Russia,3.865,35.682,33.752,27341.1,119.284,1.93,22.662,26.527,146.749,4.6,-3.366,2.789,119.664,13.748,2.198,1695.72,EU,S2,5%-20%,20%-30%
Saudi Arabia,4.757,30.756,35.141,47069.14,97.907,-4.385,29.138,33.895,34.218,5.7,-3.386,2.937,114.066,22.488,0.334,803.616,AS,S3,20%-40%,20%-30%
Serbia,-6.871,42.025,42.029,18269.55,196.909,-0.005,25.087,18.216,6.964,11.581,10.09,11.372,109.234,52.75,4.332,51.514,EU,S4,40%-60%,20%-30%
Seychelles,-16.17,35.69,34.823,29736.37,111.835,0.867,27.402,11.232,0.096,3.0,4.509,-1.267,107.99,54.205,3.088,1.683,AF,S3,40%-60%,20%-30%
Singapore,14.454,17.873,14.018,98283.31,100.0,3.855,24.681,39.135,5.704,2.25,0.304,0.059,106.494,128.202,1.096,375.484,AS,S1,Very High,20%-30%
Slovak Republic,-3.363,39.329,40.661,32817.93,106.324,-1.332,23.592,20.229,5.45,5.717,0.794,2.086,105.308,48.142,2.605,105.296,EU,S3,40%-60%,20%-30%
Slovenia,5.988,43.755,43.333,39262.17,104.813,0.422,20.62,26.608,2.081,4.467,4.517,4.671,111.795,65.606,3.251,54.185,EU,S4,Very High,20%-30%
South Africa,-2.579,26.789,31.506,13659.41,90.333,-4.717,16.021,13.442,58.775,28.7,-3.409,0.474,122.546,56.303,0.113,387.849,AF,S2,40%-60%,0%-20%
Spain,2.104,39.238,42.112,40875.3,97.314,-2.874,20.89,22.994,47.105,14.105,2.476,1.199,104.236,95.537,2.082,1393.2,EU,S4,Very High,20%-30%
Sri Lanka,-2.2,12.648,20.617,13070.13,129.467,-7.969,21.912,19.712,21.803,4.8,-2.292,-7.97,151.901,86.802,2.255,83.991,AS,S1,Very High,20%-30%
Sweden,5.497,48.62,48.056,53402.35,106.928,0.564,25.124,30.621,10.328,6.95,6.634,2.387,98.269,34.894,1.986,533.88,EU,S4,20%-40%,20%-30%
Switzerland,5.43,32.806,31.484,71729.12,101.158,1.323,25.208,30.638,8.545,2.306,-0.764,-0.21,99.687,39.796,1.243,732.472,EU,S2,20%-40%,20%-30%
"Taiwan, Province of China",10.658,15.505,17.281,51310.48,103.167,-1.776,23.8,35.756,23.603,3.73,2.068,2.273,98.415,32.726,3.064,611.396,AS,S1,20%-40%,20%-30%
Thailand,6.993,21.005,21.82,18438.65,99.998,-0.815,23.806,30.799,69.626,1.0,-2.954,-5.167,154.646,41.058,2.152,544.027,AS,S1,40%-60%,20%-30%
Bahamas,-2.728,18.374,20.035,37269.26,108.028,-1.661,26.51,23.782,0.381,10.1,6.423,-2.875,116.431,59.615,0.703,13.164,NA,S1,40%-60%,20%-30%
Tunisia,-7.837,26.012,29.626,11347.71,124.977,-3.614,19.62,11.783,11.783,14.889,-5.056,-8.566,126.838,68.972,1.512,41.772,AF,S2,Very High,0%-20%
Turkey,0.697,30.919,35.668,28515.69,418.236,-4.749,25.049,26.054,83.155,13.731,7.373,-4.018,243.651,32.663,0.89,760.516,AS,S3,20%-40%,20%-30%
Ukraine,-2.733,39.382,41.348,12902.8,87857948.11,-1.967,14.89,12.158,41.733,8.5,6.411,7.198,152.519,50.492,3.199,153.997,EU,S4,40%-60%,0%-20%
United Kingdom,-2.668,36.038,38.248,47567.99,107.819,-2.209,18.007,15.34,66.797,3.825,3.358,2.927,100.0,83.85,1.672,2880.36,EU,S3,Very High,0%-20%
United States,-2.209,30.08,35.808,62417.55,255.647,-5.728,21.365,19.446,328.547,3.675,-0.067,1.15,112.294,108.8,2.289,21372.6,NA,S3,Very High,20%-30%
Uruguay,1.601,28.312,31.07,22660.77,197.46,-2.758,14.639,16.24,3.519,8.925,-2.036,-3.228,122.026,60.456,0.35,61.231,SA,S2,Very High,0%-20%
Uzbekistan,-5.619,27.88,27.285,7419.93,277.361,0.595,40.522,34.904,33.256,8.976,16.188,15.958,89.569,28.36,5.71,59.907,AS,S2,20%-40%,>40
Vietnam,3.711,19.648,20.05,10131.71,273.311,-0.402,31.802,35.497,96.484,2.17,6.715,6.944,157.193,41.292,7.15,327.873,AS,S1,40%-60%,30%-40%
